division,family,genus,specific_epithet,subspecific_epithet,common_name,scientific_name,author,year_of_publication
Angiosperm,,,,,,,,
Gymnosperm,,,,,,,,
Pteridophyte,,,,,,,,
,Acanthaceae,,,,,,,
,Acoraceae,,,,,,,
,Actinidiaceae,,,,,,,
,Aizoaceae,,,,,,,
,Alismataceae,,,,,,,
,Amaranthaceae,,,,,,,
,Amaryllidaceae,,,,,,,
,Anacardiaceae,,,,,,,
,Annonaceae,,,,,,,
,Apiaceae,,,,,,,
,Apocynaceae,,,,,,,
,Aquifoliaceae,,,,,,,
,Araceae,,,,,,,
,Araliaceae,,,,,,,
,Araucariaceae,,,,,,,
,Aristolochiaceae,,,,,,,
,Asparagaceae,,,,,,,
,Asphodelaceae,,,,,,,
,Aspleniaceae,,,,,,,
,Asteraceae,,,,,,,
,Balsaminaceae,,,,,,,
,Basellaceae,,,,,,,
,Begoniaceae,,,,,,,
,Berberidaceae,,,,,,,
,Betulaceae,,,,,,,
,Bignoniaceae,,,,,,,
,Bixaceae,,,,,,,
,Blechnaceae,,,,,,,
,Bombacaceae,,,,,,,
,Boraginaceae,,,,,,,
,Brassicaceae,,,,,,,
,Bromeliaceae,,,,,,,
,Burseraceae,,,,,,,
,Buxaceae,,,,,,,
,Cactaceae,,,,,,,
,Campanulaceae,,,,,,,
,Cannabaceae,,,,,,,
,Cannaceae,,,,,,,
,Capparaceae,,,,,,,
,Caprifoliaceae,,,,,,,
,Caricaceae,,,,,,,
,Caryophyllaceae,,,,,,,
,Casuarinaceae,,,,,,,
,Celastraceae,,,,,,,
,Chloranthaceae,,,,,,,
,Chrysobalanaceae,,,,,,,
,Clethraceae,,,,,,,
,Clusiaceae,,,,,,,
,Colchicaceae,,,,,,,
,Combretaceae,,,,,,,
,Commelinaceae,,,,,,,
,Connaraceae,,,,,,,
,Convolvulaceae,,,,,,,
,Coriariaceae,,,,,,,
,Cornaceae,,,,,,,
,Costaceae,,,,,,,
,Crassulaceae,,,,,,,
,Crypteroniaceae,,,,,,,
,Cucurbitaceae,,,,,,,
,Cunoniaceae,,,,,,,
,Cyatheaceae,,,,,,,
,Cycadaceae,,,,,,,
,Cyperaceae,,,,,,,
,Daphniphyllaceae,,,,,,,
,Davalliaceae,,,,,,,
,Dennstaedtiaceae,,,,,,,
,Dichapetalaceae,,,,,,,
,Dicksoniaceae,,,,,,,
,Dilleniaceae,,,,,,,
,Dioscoreaceae,,,,,,,
,Dipterocarpaceae,,,,,,,
,Droseraceae,,,,,,,
,Dryopteridaceae,,,,,,,
,Ebenaceae,,,,,,,
,Elaeagnaceae,,,,,,,
,Elaeocarpaceae,,,,,,,
,Elatinaceae,,,,,,,
,Equisetaceae,,,,,,,
,Ericaceae,,,,,,,
,Eriocaulaceae,,,,,,,
,Erythroxylaceae,,,,,,,
,Escalloniaceae,,,,,,,
,Euphorbiaceae,,,,,,,
,Fabaceae,,,,,,,
,Fagaceae,,,,,,,
,Flagellariaceae,,,,,,,
,Gentianaceae,,,,,,,
,Geraniaceae,,,,,,,
,Gesneriaceae,,,,,,,
,Gleicheniaceae,,,,,,,
,Goodeniaceae,,,,,,,
,Haemodoraceae,,,,,,,
,Haloragaceae,,,,,,,
,Hamamelidaceae,,,,,,,
,Heliconiaceae,,,,,,,
,Hernandiaceae,,,,,,,
,Hydrangeaceae,,,,,,,
,Hydrocharitaceae,,,,,,,
,Hypericaceae,,,,,,,
,Hypoxidaceae,,,,,,,
,Icacinaceae,,,,,,,
,Iridaceae,,,,,,,
,Irvingiaceae,,,,,,,
,Isoetaceae,,,,,,,
,Joinvilleaceae,,,,,,,
,Juglandaceae,,,,,,,
,Juncaceae,,,,,,,
,Lamiaceae,,,,,,,
,Lauraceae,,,,,,,
,Lecythidaceae,,,,,,,
,Liliaceae,,,,,,,
,Linaceae,,,,,,,
,Loganiaceae,,,,,,,
,Lomariopsidaceae,,,,,,,
,Loranthaceae,,,,,,,
,Lycopodiaceae,,,,,,,
,Lythraceae,,,,,,,
,Magnoliaceae,,,,,,,
,Malpighiaceae,,,,,,,
,Malvaceae,,,,,,,
,Marantaceae,,,,,,,
,Marattiaceae,,,,,,,
,Marsileaceae,,,,,,,
,Melastomataceae,,,,,,,
,Meliaceae,,,,,,,
,Menispermaceae,,,,,,,
,Menyanthaceae,,,,,,,
,Molluginaceae,,,,,,,
,Monimiaceae,,,,,,,
,Moraceae,,,,,,,
,Moringaceae,,,,,,,
,Musaceae,,,,,,,
,Myricaceae,,,,,,,
,Myristicaceae,,,,,,,
,Myrtaceae,,,,,,,
,Nelumbonaceae,,,,,,,
,Nepenthaceae,,,,,,,
,Nyctaginaceae,,,,,,,
,Nymphaeaceae,,,,,,,
,Ochnaceae,,,,,,,
,Olacaceae,,,,,,,
,Oleaceae,,,,,,,
,Oleandraceae,,,,,,,
,Onagraceae,,,,,,,
,Opiliaceae,,,,,,,
,Orchidaceae,,,,,,,
,Osmundaceae,,,,,,,
,Oxalidaceae,,,,,,,
,Pandaceae,,,,,,,
,Pandanaceae,,,,,,,
,Papaveraceae,,,,,,,
,Passifloraceae,,,,,,,
,Pedaliaceae,,,,,,,
,Phytolaccaceae,,,,,,,
,Pinaceae,,,,,,,
,Piperaceae,,,,,,,
,Pittosporaceae,,,,,,,
,Plantaginaceae,,,,,,,
,Plumbaginaceae,,,,,,,
,Poaceae,,,,,,,
,Podocarpaceae,,,,,,,
,Polygalaceae,,,,,,,
,Polygonaceae,,,,,,,
,Polypodiaceae,,,,,,,
,Pontederiaceae,,,,,,,
,Portulacaceae,,,,,,,
,Potamogetonaceae,,,,,,,
,Primulaceae,,,,,,,
,Proteaceae,,,,,,,
,Pteridaceae,,,,,,,
,Rafflesiaceae,,,,,,,
,Ranunculaceae,,,,,,,
,Resedaceae,,,,,,,
,Restionaceae,,,,,,,
,Rhamnaceae,,,,,,,
,Rhizophoraceae,,,,,,,
,Rosaceae,,,,,,,
,Rubiaceae,,,,,,,
,Rutaceae,,,,,,,
,Sabiaceae,,,,,,,
,Salicaceae,,,,,,,
,Salvadoraceae,,,,,,,
,Salviniaceae,,,,,,,
,Santalaceae,,,,,,,
,Sapindaceae,,,,,,,
,Sapotaceae,,,,,,,
,Saururaceae,,,,,,,
,Saxifragaceae,,,,,,,
,Schisandraceae,,,,,,,
,Schizaeaceae,,,,,,,
,Scrophulariaceae,,,,,,,
,Selaginellaceae,,,,,,,
,Simaroubaceae,,,,,,,
,Smilacaceae,,,,,,,
,Solanaceae,,,,,,,
,Staphyleaceae,,,,,,,
,Sterculiaceae,,,,,,,
,Strelitziaceae,,,,,,,
,Styracaceae,,,,,,,
,Surianaceae,,,,,,,
,Symplocaceae,,,,,,,
,Taccaceae,,,,,,,
,Taxaceae,,,,,,,
,Theaceae,,,,,,,
,Thelypteridaceae,,,,,,,
,Thymelaeaceae,,,,,,,
,Tropaeolaceae,,,,,,,
,Typhaceae,,,,,,,
,Urticaceae,,,,,,,
,Verbenaceae,,,,,,,
,Violaceae,,,,,,,
,Viscaceae,,,,,,,
,Vitaceae,,,,,,,
,Winteraceae,,,,,,,
,Xyridaceae,,,,,,,
,Zingiberaceae,,,,,,,
,Zygophyllaceae,,,,,,,
,,Abacopteris,,,,,,
,,Abdominea,,,,,,
,,Abelmoschus,,,,,,
,,Abildgaardia,,,,,,
,,Abrus,,,,,,
,,Abutilon,,,,,,
,,Acacia,,,,,,
,,Acaciella,,,,,,
,,Acalypha,,,,,,
,,Acampe,,,,,,
,,Acanthocereus,,,,,,
,,Acanthophippium,,,,,,
,,Acanthospermum,,,,,,
,,Acanthus,,,,,,
,,Acer,,,,,,
,,Achillea,,,,,,
,,Achyranthes,,,,,,
,,Achyrospermum,,,,,,
,,Ackama,,,,,,
,,Acmella,,,,,,
,,Acorus,,,,,,
,,Acranthera,,,,,,
,,Acriopsis,,,,,,
,,Acroceras,,,,,,
,,Acronychia,,,,,,
,,Acrosorus,,,,,,
,,Acrostichum,,,,,,
,,Acrothamnus,,,,,,
,,Actinodaphne,,,,,,
,,Actinoschoenus,,,,,,
,,Actinoscirpus,,,,,,
,,Actinostachys,,,,,,
,,Adansonia,,,,,,
,,Adelmeria,,,,,,
,,Adenanthera,,,,,,
,,Adenia,,,,,,
,,Adenium,,,,,,
,,Adenoncos,,,,,,
,,Adenosma,,,,,,
,,Adenostemma,,,,,,
,,Adiantum,,,,,,
,,Adina,,,,,,
,,Adinobotrys,,,,,,
,,Aegiceras,,,,,,
,,Aerides,,,,,,
,,Aeridostachya,,,,,,
,,Aeschynanthus,,,,,,
,,Aeschynomene,,,,,,
,,Afrohybanthus,,,,,,
,,Afzelia,,,,,,
,,Agalmyla,,,,,,
,,Aganope,,,,,,
,,Agathis,,,,,,
,,Agave,,,,,,
,,Agelaea,,,,,,
,,Ageratina,,,,,,
,,Ageratum,,,,,,
,,Aglaia,,,,,,
,,Aglaonema,,,,,,
,,Aglossorrhyncha,,,,,,
,,Agrostis,,,,,,
,,Agrostistachys,,,,,,
,,Agrostophyllum,,,,,,
,,Ahernia,,,,,,
,,Aidia,,,,,,
,,Ailanthus,,,,,,
,,Ainsliaea,,,,,,
,,Airyantha,,,,,,
,,Ajuga,,,,,,
,,Alangium,,,,,,
,,Albizia,,,,,,
,,Alcea,,,,,,
,,Alchornea,,,,,,
,,Alectryon,,,,,,
,,Aleurites,,,,,,
,,Aleuritopteris,,,,,,
,,Allaeanthus,,,,,,
,,Allamanda,,,,,,
,,Allium,,,,,,
,,Allmania,,,,,,
,,Allophylus,,,,,,
,,Alloteropsis,,,,,,
,,Alnus,,,,,,
,,Alocasia,,,,,,
,,Aloe,,,,,,
,,Alphitonia,,,,,,
,,Alphonsea,,,,,,
,,Alpinia,,,,,,
,,Alseodaphne,,,,,,
,,Alsomitra,,,,,,
,,Alsophila,,,,,,
,,Alstonia,,,,,,
,,Alternanthera,,,,,,
,,Alysicarpus,,,,,,
,,Alyxia,,,,,,
,,Amaracarpus,,,,,,
,,Amaranthus,,,,,,
,,Amaryllis,,,,,,
,,Amauropelta,,,,,,
,,Amblovenatum,,,,,,
,,Amblyanthopsis,,,,,,
,,Amesiella,,,,,,
,,Amherstia,,,,,,
,,Amischotolype,,,,,,
,,Ammannia,,,,,,
,,Amomum,,,,,,
,,Amorphophallus,,,,,,
,,Ampelocissus,,,,,,
,,Ampelopsis,,,,,,
,,Ampelopteris,,,,,,
,,Amphineurion,,,,,,
,,Amydrium,,,,,,
,,Amyema,,,,,,
,,Amylotheca,,,,,,
,,Anacardium,,,,,,
,,Anadendrum,,,,,,
,,Anamirta,,,,,,
,,Ananas,,,,,,
,,Anaphalis,,,,,,
,,Anaxagorea,,,,,,
,,Ancistrachne,,,,,,
,,Andrographis,,,,,,
,,Andropogon,,,,,,
,,Androsace,,,,,,
,,Anemone,,,,,,
,,Anerincleistus,,,,,,
,,Anethum,,,,,,
,,Angelesia,,,,,,
,,Angelonia,,,,,,
,,Angiopteris,,,,,,
,,Ania,,,,,,
,,Aniseia,,,,,,
,,Aniselytron,,,,,,
,,Anisomeles,,,,,,
,,Anisopappus,,,,,,
,,Anisoptera,,,,,,
,,Annona,,,,,,
,,Anodendron,,,,,,
,,Anoectochilus,,,,,,
,,Anredera,,,,,,
,,Antherostele,,,,,,
,,Anthocarapa,,,,,,
,,Anthoxanthum,,,,,,
,,Antiaris,,,,,,
,,Antigonon,,,,,,
,,Antrophyum,,,,,,
,,Aphanamixis,,,,,,
,,Aphananthe,,,,,,
,,Aphelandra,,,,,,
,,Aphyllorchis,,,,,,
,,Apium,,,,,,
,,Apluda,,,,,,
,,Apostasia,,,,,,
,,Appendicula,,,,,,
,,Aquilaria,,,,,,
,,Arachis,,,,,,
,,Arachniodes,,,,,,
,,Arachnis,,,,,,
,,Aralia,,,,,,
,,Araucaria,,,,,,
,,Arcangelisia,,,,,,
,,Archidendron,,,,,,
,,Ardisia,,,,,,
,,Arenaria,,,,,,
,,Argemone,,,,,,
,,Argentina,,,,,,
,,Argostemma,,,,,,
,,Arisaema,,,,,,
,,Aristida,,,,,,
,,Aristolochia,,,,,,
,,Arnicratea,,,,,,
,,Artabotrys,,,,,,
,,Artemisia,,,,,,
,,Arthraxon,,,,,,
,,Arthrobotrya,,,,,,
,,Artocarpus,,,,,,
,,Arundina,,,,,,
,,Arundinella,,,,,,
,,Arundo,,,,,,
,,Arytera,,,,,,
,,Ascarina,,,,,,
,,Asclepias,,,,,,
,,Asparagus,,,,,,
,,Aspidopterys,,,,,,
,,Asplenium,,,,,,
,,Aster,,,,,,
,,Asthenochloa,,,,,,
,,Astilbe,,,,,,
,,Astrocalyx,,,,,,
,,Astronia,,,,,,
,,Astrothalamus,,,,,,
,,Asystasia,,,,,,
,,Atalantia,,,,,,
,,Atractocarpus,,,,,,
,,Atuna,,,,,,
,,Austroeupatorium,,,,,,
,,Austrogramme,,,,,,
,,Avena,,,,,,
,,Avenella,,,,,,
,,Averrhoa,,,,,,
,,Avicennia,,,,,,
,,Axonopus,,,,,,
,,Ayapana,,,,,,
,,Azadirachta,,,,,,
,,Azanza,,,,,,
,,Azima,,,,,,
,,Azolla,,,,,,
,,Bacopa,,,,,,
,,Badusa,,,,,,
,,Balakata,,,,,,
,,Bambusa,,,,,,
,,Barleria,,,,,,
,,Barringtonia,,,,,,
,,Basella,,,,,,
,,Basilicum,,,,,,
,,Bauhinia,,,,,,
,,Beaumontia,,,,,,
,,Beccarianthus,,,,,,
,,Begonia,,,,,,
,,Beilschmiedia,,,,,,
,,Benincasa,,,,,,
,,Benkara,,,,,,
,,Benstonea,,,,,,
,,Berberis,,,,,,
,,Berchemia,,,,,,
,,Bergia,,,,,,
,,Bhesa,,,,,,
,,Biancaea,,,,,,
,,Bidens,,,,,,
,,Bikkia,,,,,,
,,Biophytum,,,,,,
,,Bixa,,,,,,
,,Blachia,,,,,,
,,Blechnum,,,,,,
,,Blepharoglossum,,,,,,
,,Blumea,,,,,,
,,Blumeodendron,,,,,,
,,Blutaparon,,,,,,
,,Blyxa,,,,,,
,,Boehmeria,,,,,,
,,Boenninghausenia,,,,,,
,,Boerhavia,,,,,,
,,Boesenbergia,,,,,,
,,Bogoria,,,,,,
,,Boholia,,,,,,
,,Bolbitis,,,,,,
,,Bolboschoenus,,,,,,
,,Bombax,,,,,,
,,Bonamia,,,,,,
,,Bosmania,,,,,,
,,Bothriochloa,,,,,,
,,Bothriospermum,,,,,,
,,Bougainvillea,,,,,,
,,Brachypeza,,,,,,
,,Brachypodium,,,,,,
,,Brachypterum,,,,,,
,,Brackenridgea,,,,,,
,,Brassica,,,,,,
,,Bromheadia,,,,,,
,,Bromus,,,,,,
,,Broussonetia,,,,,,
,,Brownea,,,,,,
,,Brucea,,,,,,
,,Brugmansia,,,,,,
,,Bruguiera,,,,,,
,,Bruinsmia,,,,,,
,,Brunfelsia,,,,,,
,,Bryobium,,,,,,
,,Buchanania,,,,,,
,,Buddleja,,,,,,
,,Bulbophyllum,,,,,,
,,Bulbostylis,,,,,,
,,Burbidgea,,,,,,
,,Buxus,,,,,,
,,Bythophyton,,,,,,
,,Caesalpinia,,,,,,
,,Cajanus,,,,,,
,,Caladium,,,,,,
,,Calamagrostis,,,,,,
,,Calanthe,,,,,,
,,Calciphilopteris,,,,,,
,,Calliandra,,,,,,
,,Callicarpa,,,,,,
,,Calligrammitis,,,,,,
,,Calochlaena,,,,,,
,,Calopogonium,,,,,,
,,Calotropis,,,,,,
,,Calymmodon,,,,,,
,,Camellia,,,,,,
,,Camonea,,,,,,
,,Campnosperma,,,,,,
,,Camptostemon,,,,,,
,,Campylospermum,,,,,,
,,Cananga,,,,,,
,,Canarium,,,,,,
,,Canavalia,,,,,,
,,Canna,,,,,,
,,Cannabis,,,,,,
,,Canscora,,,,,,
,,Cansjera,,,,,,
,,Canthium,,,,,,
,,Cantinoa,,,,,,
,,Caperonia,,,,,,
,,Capillipedium,,,,,,
,,Capparis,,,,,,
,,Capsella,,,,,,
,,Capsicum,,,,,,
,,Carallia,,,,,,
,,Cardamine,,,,,,
,,Cardiospermum,,,,,,
,,Carex,,,,,,
,,Carica,,,,,,
,,Carissa,,,,,,
,,Carpesium,,,,,,
,,Carruthersia,,,,,,
,,Carthamus,,,,,,
,,Caryodaphnopsis,,,,,,
,,Cascabela,,,,,,
,,Casearia,,,,,,
,,Cassia,,,,,,
,,Cassytha,,,,,,
,,Castanea,,,,,,
,,Castanopsis,,,,,,
,,Castilla,,,,,,
,,Casuarina,,,,,,
,,Catalpa,,,,,,
,,Catanthera,,,,,,
,,Catharanthus,,,,,,
,,Causonis,,,,,,
,,Cavanillesia,,,,,,
,,Cayratia,,,,,,
,,Cecarria,,,,,,
,,Cecropia,,,,,,
,,Cedrela,,,,,,
,,Ceiba,,,,,,
,,Celastrus,,,,,,
,,Celosia,,,,,,
,,Celtis,,,,,,
,,Cenchrus,,,,,,
,,Centella,,,,,,
,,Centipeda,,,,,,
,,Centotheca,,,,,,
,,Centratherum,,,,,,
,,Centrolepis,,,,,,
,,Centrosema,,,,,,
,,Ceodes,,,,,,
,,Cephalostachyum,,,,,,
,,Cerastium,,,,,,
,,Ceratocentron,,,,,,
,,Ceratopteris,,,,,,
,,Ceratostylis,,,,,,
,,Cerbera,,,,,,
,,Cereus,,,,,,
,,Ceriops,,,,,,
,,Ceriscoides,,,,,,
,,Ceropegia,,,,,,
,,Cestichis,,,,,,
,,Cestrum,,,,,,
,,Ceuthostoma,,,,,,
,,Chamabainia,,,,,,
,,Chamaeanthus,,,,,,
,,Chamaecrista,,,,,,
,,Champereia,,,,,,
,,Chassalia,,,,,,
,,Cheilanthes,,,,,,
,,Cheilosa,,,,,,
,,Cheirostylis,,,,,,
,,Chelonistele,,,,,,
,,Chenopodium,,,,,,
,,Chewlunia,,,,,,
,,Chilocarpus,,,,,,
,,Chiloschista,,,,,,
,,Chingia,,,,,,
,,Chionachne,,,,,,
,,Chionanthus,,,,,,
,,Chisocheton,,,,,,
,,Chloranthus,,,,,,
,,Chloris,,,,,,
,,Chonemorpha,,,,,,
,,Christella,,,,,,
,,Christensenia,,,,,,
,,Christia,,,,,,
,,Chromolaena,,,,,,
,,Chrysanthemum,,,,,,
,,Chrysobalanus,,,,,,
,,Chrysoglossum,,,,,,
,,Chrysogrammitis,,,,,,
,,Chrysophyllum,,,,,,
,,Chrysopogon,,,,,,
,,Chrysothemis,,,,,,
,,Cinnamomum,,,,,,
,,Cionisaccus,,,,,,
,,Cipadessa,,,,,,
,,Cirsium,,,,,,
,,Cissampelos,,,,,,
,,Cissus,,,,,,
,,Citharexylum,,,,,,
,,Citrullus,,,,,,
,,Citrus,,,,,,
,,Claderia,,,,,,
,,Cladium,,,,,,
,,Cladogynos,,,,,,
,,Claoxylon,,,,,,
,,Clausena,,,,,,
,,Cleidion,,,,,,
,,Cleisostoma,,,,,,
,,Clematis,,,,,,
,,Clerodendrum,,,,,,
,,Clethra,,,,,,
,,Clinopodium,,,,,,
,,Clitoria,,,,,,
,,Cnesmone,,,,,,
,,Cnestis,,,,,,
,,Cnidoscolus,,,,,,
,,Coccinia,,,,,,
,,Coccoloba,,,,,,
,,Cocculus,,,,,,
,,Cochlospermum,,,,,,
,,Codariocalyx,,,,,,
,,Codiaeum,,,,,,
,,Codonoboea,,,,,,
,,Coelachne,,,,,,
,,Coelogyne,,,,,,
,,Coelospermum,,,,,,
,,Coffea,,,,,,
,,Coix,,,,,,
,,Coleus,,,,,,
,,Collabium,,,,,,
,,Colocasia,,,,,,
,,Colubrina,,,,,,
,,Combretum,,,,,,
,,Commelina,,,,,,
,,Congea,,,,,,
,,Coniogramme,,,,,,
,,Connarus,,,,,,
,,Coptosapelta,,,,,,
,,Cordyline,,,,,,
,,Cordyloblaste,,,,,,
,,Coreopsis,,,,,,
,,Coriandrum,,,,,,
,,Coriaria,,,,,,
,,Cortaderia,,,,,,
,,Corybas,,,,,,
,,Corymbia,,,,,,
,,Corymborkis,,,,,,
,,Coryphopteris,,,,,,
,,Cosmos,,,,,,
,,Cosmostigma,,,,,,
,,Costera,,,,,,
,,Cotula,,,,,,
,,Cowiea,,,,,,
,,Crassocephalum,,,,,,
,,Crateva,,,,,,
,,Cratoxylum,,,,,,
,,Cravenia,,,,,,
,,Creochiton,,,,,,
,,Crepidiastrum,,,,,,
,,Crepidium,,,,,,
,,Crescentia,,,,,,
,,Crinum,,,,,,
,,Crocosmia,,,,,,
,,Crossostephium,,,,,,
,,Crotalaria,,,,,,
,,Croton,,,,,,
,,Crudia,,,,,,
,,Crypteronia,,,,,,
,,Cryptocarya,,,,,,
,,Cryptocoryne,,,,,,
,,Cryptolepis,,,,,,
,,Cryptostegia,,,,,,
,,Cryptostylis,,,,,,
,,Ctenitis,,,,,,
